electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
FP4,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,-13.892,80.392,4.767,99,220,161
FP5,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-22.892,78.392,7.767,108,218,164
FP6,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-32.892,76.392,12.767,118,216,169
FP7,ctx-lh-rostralmiddlefrontal,1027,2.0,nearest-neighbor,-36.892,68.392,18.767,122,208,175
FP8,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-40.892,60.392,22.767,126,200,179
HF1,ctx-lh-postcentral,1022,2.236068,nearest-neighbor,-38.892,-3.608,70.767,124,136,227
HF2,ctx-lh-precentral,1024,1.0,nearest-neighbor,-37.892,5.392,70.767,123,145,227
HF3,ctx-lh-precentral,1024,2.236068,nearest-neighbor,-33.892,15.392,67.767,119,155,224
HF4,ctx-lh-caudalmiddlefrontal,1003,3.3166249,nearest-neighbor,-32.892,24.392,66.767,118,164,223
HF5,ctx-lh-caudalmiddlefrontal,1003,2.0,nearest-neighbor,-27.892,34.392,64.767,113,174,221
HF6,ctx-lh-caudalmiddlefrontal,1003,1.7320508,nearest-neighbor,-23.892,44.392,61.767,109,184,218
HF7,ctx-lh-caudalmiddlefrontal,1003,2.4494898,nearest-neighbor,-19.892,51.392,57.767,105,191,214
HF8,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-14.892,59.392,53.767,100,199,210
D1,Left-Caudate,11,0.0,direct,-12.987,30.021,27.697,98,170,183
D2,Left-Cerebral-White-Matter,2,0.0,direct,-16.319,34.197,28.166,101,174,184
D3,Left-Cerebral-White-Matter,2,0.0,direct,-19.731,38.046,28.703,104,178,184
D4,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-23.273,41.707,29.314,108,181,185
D5,ctx-lh-rostralmiddlefrontal,1027,1.0,nearest-neighbor,-27.091,45.201,29.864,112,185,186
D6,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-31.271,48.134,30.883,116,188,187
